  N°,   Fecha,       (Lugar),         Partidos,      resultado,   Competición
1,13-05-1902,(Madrid)   ,Madrid FC - Barcelona,1-3,Copa del Rey (1/2)
2,13-05-1906,(Barcelona),Barcelona - Madrid FC,5-2,Partido amistoso
3,01-11-1913,(Barcelona),Barcelona - Madrid FC,7-0,Partido amistoso
4,02-11-1913,(Barcelona),Barcelona - Madrid FC,1-0,Partido amistoso
5,06-01-1914,(Madrid)   ,Madrid FC - Barcelona,2-2,Partido amistoso
6,10-01-1914,(Madrid)   ,Madrid FC - Barcelona,0-2,Partido amistoso
7,05-03-1916,(Barcelona),Barcelona - Madrid FC,3-0,Partido amistoso
8,26-03-1916,(Barcelona),Barcelona - Madrid FC,2-1,Copa del Rey (1/2)
9,02-04-1916,(Madrid)   ,Madrid FC - Barcelona,4-1,Copa del Rey (1/2)
10,13-04-1916,(Madrid)   ,Madrid FC - Barcelona,6-6,Copa del Rey (1/2)
11,15-04-1916,(Madrid)   ,Madrid FC - Barcelona,4-2,Copa del Rey (1/2)
12,07-03-1916,(Barcelona),Barcelona - Madrid FC,0-0,Partido amistoso
13,01-11-1917,(Barcelona),Barcelona - Madrid FC,3-1,Partido amistoso
14,04-11-1917,(Barcelona),Barcelona - Madrid FC,4-1,Partido amistoso
15,20-02-1918,(Madrid)   ,Madrid FC - Barcelona,1-2,Partido amistoso
16,15-02-1920,(Barcelona),Barcelona - Madrid FC,2-2,Partido amistoso
17,18-02-1920,(Barcelona),Barcelona - Madrid FC,7-1,Partido amistoso
18,11-01-1921,(Barcelona),Barcelona - R. Madrid,3-0,Partido amistoso
19,15-03-1922,(Madrid)   ,R. Madrid - Barcelona,2-2,Partido amistoso
20,18-04-1926,(Madrid)   ,R. Madrid - Barcelona,1-5,Copa del Rey (1/4)
21,25-04-1926,(Barcelona),Barcelona - R. Madrid,3-0,Copa del Rey (1/4)
22,02-02-1927,(Barcelona),Barcelona - R. Madrid,0-0,Partido amistoso
23,19-03-1927,(Madrid)   ,R. Madrid - Barcelona,1-5, Partido amistoso
24,20-03-1927,(Madrid)   ,R. Madrid - Barcelona,1-4,Partido amistoso
25,27-05-1928,(Barcelona),Barcelona - R. Madrid,2-2,Torneo Campeones
26,03-06-1928,(Madrid)   ,R. Madrid - Barcelona,1-1,Torneo Campeones
27,17-02-1929,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga (2ª)
28,09-05-1929,(Madrid)   ,R. Madrid - Barcelona,0-1,Cto. de Liga(11ª)
29,26-01-1930,(Barcelona),Barcelona - R. Madrid,1-4,Cto. de Liga(9ª)
30,30-03-1930,(Madrid)   ,R. Madrid - Barcelona,5-1,Cto. de Liga(18ª)
31,01-02-1931,(Madrid)   ,R. Madrid - Barcelona,0-0,Cto. de Liga(9ª)
32,05-04-1931,(Barcelona),Barcelona - R. Madrid,3-1,Cto. de Liga(18ª)
33,31-01-1932,(Madrid)   ,R. Madrid - Barcelona,2-0,Cto. de Liga(9ª)
34,03-04-1932,(Barcelona),Barcelona - R. Madrid,2-2,Cto. de Liga(18ª)
35,03-07-1932,(Barcelona),Barcelona - R. Madrid,2-2,Partido amistoso
36,01-01-1933,(Barcelona),Barcelona - R. Madrid,1-1,Cto. de Liga(6ª)
37,05-03-1933,(Madrid)   ,R. Madrid - Barcelona,2-1,Cto. de Liga(15ª)
38,26-11-1933,(Barcelona),Barcelona - R. Madrid,1-2,Cto. de Liga(4ª)
39,28-01-1934,(Madrid)   ,R. Madrid - Barcelona,4-0,Cto. de Liga(13ª)
