gene,day0_rep1,day0_rep2,day0_rep3,day1_rep1,day1_rep2,day1_rep3,day2_rep1,day2_rep2,day2_rep3,day4_rep1,day4_rep2,day4_rep3,day5_rep1,day5_rep2,day11_rep1,day11_rep2,day11_rep3,day18_rep1,day18_rep2,day18_rep3
DDX11L1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,2,0
WASH7P,1113,897,1498,2130,2047,1876,1366,1359,1439,2956,2635,2242,4500,2303,2714,3056,3332,3393,2846,2585
MIR6859-1,8,9,18,28,15,24,13,15,14,16,20,12,47,16,25,30,40,24,29,31
RP11-34P13.3,0,0,0,3,4,4,3,1,0,2,4,0,0,0,1,5,0,2,0,0
MIR1302-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM138A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
OR4G4P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4G11P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4F5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.7,2,0,6,9,16,11,6,7,9,8,17,8,20,8,16,22,29,22,20,18
RP11-34P13.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CICP27,55,61,76,277,195,197,106,85,97,221,243,196,341,179,327,323,389,250,237,210
RP11-34P13.15,13,3,16,20,30,37,7,26,24,24,41,27,43,27,30,28,41,37,34,28
RP11-34P13.16,3,3,9,26,17,11,12,17,17,25,25,15,30,23,25,28,19,31,26,18
RP11-34P13.14,1,0,0,1,1,0,2,0,1,1,1,0,6,0,0,0,1,2,2,2
RP11-34P13.13,46,75,70,153,117,135,74,63,47,167,145,109,329,185,196,164,161,162,128,129
RNU6-1100P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP11-34P13.9,0,2,0,2,0,6,4,0,0,2,0,0,0,0,0,1,3,2,1,2
FO538757.3,0,0,0,4,0,0,0,0,0,0,0,1,1,0,1,0,0,2,0,1
FO538757.2,220,175,306,474,485,428,251,269,281,538,431,373,886,371,586,606,650,594,615,496
MIR6859-2,1,0,0,1,0,0,2,0,0,0,0,0,2,0,0,1,0,3,2,0
FO538757.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AP006222.2,84,88,112,135,131,121,90,68,82,158,146,116,335,142,168,230,219,162,191,169
RPL23AP21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL23AP24,1,1,9,8,5,3,6,7,2,7,3,7,9,5,7,11,10,7,9,3
RP5-857K21.15,1,0,0,0,1,1,0,0,0,3,0,1,0,4,1,1,1,2,3,5
RP4-669L17.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP4-669L17.10,429,465,557,810,707,720,404,406,440,949,882,708,1561,788,900,767,1092,1041,829,845
